"","income","mstatus","race"
"346",3,1,1
"347",2,2,1
"348",8,1,1
"349",4,1,1
"350",7,1,1
"351",3,2,1
"352",NA,2,1
"353",4,2,1
"354",3,2,1
"355",4,2,1
"356",1,1,1
"357",1,2,1
"358",1,2,1
"359",1,2,1
"360",2,2,1
"361",1,2,1
"362",6,2,1
"363",2,2,1
"364",2,2,1
"365",2,2,1
"366",4,2,1
"367",4,2,1
"368",3,2,1
"369",5,2,1
"370",1,2,1
"371",1,2,1
"372",3,2,1
"373",4,2,1
"374",4,2,1
"375",5,2,1
"376",4,2,1
"377",8,1,1
"378",NA,2,1
"379",NA,2,1
"380",2,2,1
"381",2,2,1
"382",1,2,1
"383",3,2,1
"384",6,1,2
"385",1,2,1
"386",2,2,1
"387",9,1,1
"388",4,2,1
"389",10,1,1
"390",4,2,1
"391",4,2,1
"392",9,2,1
"393",4,2,1
"394",3,2,1
"395",2,2,1
"396",4,2,1
"397",3,2,1
"398",3,2,2
"399",4,2,1
"400",3,2,1
"401",5,1,1
"402",2,2,1
"403",8,1,1
"404",1,2,1
"405",9,1,1
"406",10,1,1
"407",6,2,1
"408",4,2,1
"409",NA,2,1
"410",5,2,1
"411",2,1,1
"412",6,2,1
"413",4,2,1
"414",1,2,1
"415",4,2,1
"416",4,2,1
"417",1,2,1
"418",3,2,1
"419",NA,2,1
"420",1,2,1
"421",NA,1,1
"422",1,2,1
"423",6,2,1
"424",1,2,1
"425",10,1,1
"426",1,2,1
"427",4,2,1
"428",2,2,1
"429",2,2,1
"430",3,2,1
"431",2,1,1
"432",7,1,1
"433",7,2,2
"434",1,2,1
"435",NA,2,2
"436",7,2,1
"437",6,2,1
"438",4,2,1
"439",4,2,1
"440",3,2,1
"441",6,1,1
"442",7,2,1
"443",3,2,1
"444",7,1,1
"445",6,2,1
"446",1,2,1
"447",6,1,1
"448",8,1,1
"449",5,2,1
"450",4,1,1
"451",3,2,1
"452",3,2,1
"453",3,2,1
"454",4,2,1
"455",10,2,1
"456",4,2,1
"457",3,2,1
"458",2,2,1
"459",4,2,1
"460",3,2,1
"461",3,2,1
"462",3,2,1
"463",8,2,1
"464",2,2,1
"465",4,2,1
